"","location_name","lat","lng"
"1","Austin-Forest Park station chicago, IL",41.8708727,-87.7764859
"2","Harlem-Lake station chicago, IL",41.8868723,-87.8039592
"3","Pulaski-Lake station chicago, IL",41.8855668,-87.7266919
"4","Quincy/Wells station chicago, IL",41.8787167,-87.6338348
"5","Davis station chicago, IL",42.0479403,-87.6846179
"6","Davis station chicago, IL",42.0489057,-87.6849696
"7","Belmont-O'Hare station chicago, IL",41.977665,-87.904221
"8","Jackson/Dearborn station chicago, IL",41.8787057,-87.6294433
"9","Sheridan station chicago, IL",41.9538407,-87.6549146
"10","Damen-Brown station chicago, IL",41.9664423,-87.6787306
"11","Morse station chicago, IL",42.0082839,-87.6659537
"12","35th/Archer station chicago, IL",41.8294024,-87.680779
"13","51st station chicago, IL",41.800894,-87.5871565
"14","Skokie station chicago, IL",42.039388,-87.7522867
"15","Pulaski-Cermak station chicago, IL",41.8516941,-87.7251416
"16","LaSalle/Van Buren station chicago, IL",41.8769395,-87.631775
"17","Ashland-Lake station chicago, IL",41.8852598,-87.6669242
"18","Oak Park-Forest Park station chicago, IL",41.8797549,-87.804727
"19","Sox-35th-Dan Ryan station chicago, IL",41.8313096,-87.6306777
"20","Randolph/Wabash station chicago, IL",41.882145,-87.6259419
"21","Randolph/Wabash station chicago, IL",41.8843336,-87.6261819
"22","Damen-Cermak station chicago, IL",41.8521081,-87.6755784
"23","Western-Forest Park station chicago, IL",41.8755509,-87.686549
"24","Cumberland station chicago, IL",41.9842909,-87.8381414
"25","79th station chicago, IL",41.7508264,-87.6251778
"26","Kedzie-Homan-Forest Park station chicago, IL",41.8741408,-87.7084035
"27","State/Lake station chicago, IL",41.8857605,-87.6279711
"28","Main station chicago, IL",41.8646077,-87.6215382
"29","Central-Lake station chicago, IL",41.8878977,-87.7652024
"30","Ashland/63rd station chicago, IL",41.77886,-87.663766
"31","Indiana station chicago, IL",41.8217903,-87.6215457
"32","Western-Orange station chicago, IL",41.8050783,-87.6840653
"33","Division/Milwaukee station chicago, IL",41.9035994,-87.6673332
"34","Division/Milwaukee station chicago, IL",41.903534,-87.666886
"35","Grand/State station chicago, IL",41.8916773,-87.6280838
"36","Berwyn station chicago, IL",41.9792323,-87.6580343
"37","UIC-Halsted station chicago, IL",41.8755206,-87.6497565
"38","UIC-Halsted station chicago, IL",41.8755767,-87.6472982
"39","Southport station chicago, IL",41.9438551,-87.6635488
"40","Washington/Dearborn station chicago, IL",41.8837269,-87.6292991
"41","Clark/Lake station chicago, IL",41.8857522,-87.6315547
"42","Forest Park station chicago, IL",41.8797549,-87.804727
"43","Forest Park station chicago, IL",41.8742374,-87.8164667
"44","Noyes station chicago, IL",42.0581975,-87.6834654
"45","Cicero-Cermak station chicago, IL",41.8511226,-87.7441783
"46","Clinton-Forest Park station chicago, IL",41.8797549,-87.804727
"47","California-Cermak station chicago, IL",41.851963,-87.6956827
"48","95th/Dan Ryan station chicago, IL",41.7223923,-87.6244124
"49","Merchandise Mart station chicago, IL",41.8889772,-87.6339836
"50","Merchandise Mart station chicago, IL",41.8882635,-87.6366081
"51","Racine station chicago, IL",41.8758849,-87.6573191
"52","Cicero-Lake station chicago, IL",41.8865456,-87.7446235
"53","Grand/Milwaukee station chicago, IL",41.891367,-87.648049
"54","Washington/State station chicago, IL",41.8769055,-87.6287962
"55","Garfield-South Elevated station chicago, IL",41.7951719,-87.6184054
"56","Foster station chicago, IL",42.0542583,-87.6836666
"57","Diversey station chicago, IL",41.9328653,-87.6530264
"58","Wilson station chicago, IL",41.9646836,-87.6577982
"59","Irving Park-O'Hare station chicago, IL",41.977665,-87.904221
"60","Jackson/State station chicago, IL",41.8782124,-87.6276726
"61","Jackson/State station chicago, IL",41.8787874,-87.639465
"62","California/Milwaukee station chicago, IL",41.92268,-87.697129
"63","54th/Cermak station chicago, IL",41.851772,-87.756691
"64","Damen/Milwaukee station chicago, IL",41.9100489,-87.6779633
"65","Kostner station chicago, IL",41.8537465,-87.7338773
"66","Ridgeland station chicago, IL",41.8945638,-87.7848839
"67","Clark/Division station chicago, IL",41.903883,-87.6319485
"68","Madison/Wabash station chicago, IL",41.882145,-87.6259419
"69","North/Clybourn station chicago, IL",41.9107386,-87.6489153
"70","Armitage station chicago, IL",41.918201,-87.65258
"71","Western/Milwaukee station chicago, IL",41.9171325,-87.6875582
"72","Adams/Wabash station chicago, IL",41.8795281,-87.6260428
"73","Dempster station chicago, IL",42.0416559,-87.6815715
"74","Dempster station chicago, IL",42.039388,-87.7522867
"75","Laramie station chicago, IL",41.8872121,-87.7545578
"76","Chicago/Franklin station chicago, IL",41.8965628,-87.6359311
"77","East 63rd-Cottage Grove station chicago, IL",41.7804665,-87.6058945
"78","Washington/Wells station chicago, IL",41.8826375,-87.6337813
"79","Western-Cermak station chicago, IL",41.851836,-87.6854876
"80","Harlem-O'Hare station chicago, IL",41.9823319,-87.8075119
"81","Granville station chicago, IL",41.9938311,-87.6591572
"82","Lawrence station chicago, IL",41.9691094,-87.6584064
"83","Central Park station chicago, IL",41.8540168,-87.715076
"84","Monroe/Dearborn station chicago, IL",41.8809687,-87.6294082
"85","Sedgwick station chicago, IL",41.9103539,-87.6388172
"86","Medical Center station chicago, IL",41.8756644,-87.6736193
"87","Rosemont station chicago, IL",41.9835651,-87.8594713
"88","Rosemont station chicago, IL",41.975665,-87.8729941
"89","18th station chicago, IL",41.8644962,-87.6559785
"90","South Boulevard station chicago, IL",42.0275403,-87.6784409
"91","Library station chicago, IL",41.8769055,-87.6287962
"92","Library station chicago, IL",41.8762968,-87.6282279
"93","Francisco station chicago, IL",41.9661567,-87.7015537
"94","Thorndale station chicago, IL",41.9903132,-87.6590512
"95","O'Hare Airport station chicago, IL",41.9882529,-87.8830933
"96","Howard station chicago, IL",42.0187687,-87.6725351
"97","63rd-Dan Ryan station chicago, IL",41.780916,-87.6310224
"98","63rd-Dan Ryan station chicago, IL",41.780218,-87.629861
"99","Pulaski-Forest Park station chicago, IL",41.8738689,-87.7279267
"100","Midway Airport station chicago, IL",41.788117,-87.7412152
"101","Halsted/63rd station chicago, IL",41.7789824,-87.6440887
"102","Pulaski-Orange station chicago, IL",41.8000158,-87.7241323
"103","Cicero-Forest Park station chicago, IL",41.8797549,-87.804727
"104","Harlem-Forest Park station chicago, IL",41.8797549,-87.804727
"105","69th station chicago, IL",41.7689814,-87.6258266
"106","Cermak-Chinatown station chicago, IL",41.8537353,-87.6311368
"107","Rockwell station chicago, IL",41.9662046,-87.6940615
"108","Logan Square station chicago, IL",41.9297992,-87.7077067
"109","Polk station chicago, IL",41.8715142,-87.6695554
"110","Kedzie-Cermak station chicago, IL",41.8516985,-87.705026
"111","Linden station chicago, IL",42.0736657,-87.6903116
"112","Ashland-Orange station chicago, IL",41.8393878,-87.665232
"113","Kedzie-Lake station chicago, IL",41.8843051,-87.7062705
"114","47th-South Elevated station chicago, IL",41.8097099,-87.5913066
"115","Monroe/State station chicago, IL",41.8807034,-87.6277392
"116","35-Bronzeville-IIT station chicago, IL",41.8320478,-87.6258867
"117","Halsted-Orange station chicago, IL",41.8468233,-87.6480623
"118","King Drive station chicago, IL",41.7802291,-87.6156063
"119","Kedzie-Midway station chicago, IL",41.7864626,-87.7387943
"120","Kedzie-Midway station chicago, IL",41.7860338,-87.7383036
"121","Clinton-Lake station chicago, IL",41.8857074,-87.6417779
"122","Garfield-Dan Ryan station chicago, IL",41.7958088,-87.6312088
"123","Kedzie-Brown station chicago, IL",41.9660945,-87.7087181
"124","Jarvis station chicago, IL",42.0159136,-87.669144
"125","Argyle station chicago, IL",41.9734331,-87.6585659
"126","Wellington station chicago, IL",41.9362367,-87.6534338
"127","Fullerton station chicago, IL",41.9251983,-87.6527796
"128","47th-Dan Ryan station chicago, IL",41.810318,-87.63094
"129","Addison-O'Hare station chicago, IL",41.92791,-87.972657
"130","Central-Evanston station chicago, IL",42.0640547,-87.6980954
"131","Austin-Lake station chicago, IL",41.8873046,-87.7741725
"132","Austin-Lake station chicago, IL",41.8879635,-87.7747552
"133","43rd station chicago, IL",41.8163312,-87.6190347
"134","Jefferson Park station chicago, IL",41.971716,-87.7635101
"135","Kimball station chicago, IL",41.9675567,-87.713665
"136","Loyola station chicago, IL",42.0023762,-87.6612049
"137","Paulina station chicago, IL",41.9437634,-87.6708389
"138","Belmont-North Main station chicago, IL",41.9385501,-87.8601651
"139","Montrose-O'Hare station chicago, IL",41.9614717,-87.7436122
"140","LaSalle station chicago, IL",41.8753038,-87.6321531
"141","Oak Park-Lake station chicago, IL",41.8873046,-87.7741725
"142","California-Lake station chicago, IL",41.8844645,-87.696355
"143","Bryn Mawr station chicago, IL",41.9834946,-87.6587948
"144","Roosevelt station chicago, IL",41.8675516,-87.6266639
"145","Chicago/Milwaukee station chicago, IL",41.896396,-87.655775
"146","Addison-North Main station chicago, IL",41.9474769,-87.6536141
"147","87th station chicago, IL",41.735372,-87.624717
"148","Addison-Brown station chicago, IL",41.9472441,-87.6747255
"149","Chicago/State station chicago, IL",41.8966846,-87.6281338
"150","Irving Park-Brown station chicago, IL",41.9543223,-87.6752715
"151","Western-Brown station chicago, IL",41.9159925,-87.6870457
"152","Western-Brown station chicago, IL",41.9660945,-87.6885605
"153","Harrison station chicago, IL",41.8741534,-87.6275584
"154","Montrose-Brown station chicago, IL",41.9617764,-87.675192
"155","Montrose-Brown station chicago, IL",41.9612734,-87.6794999
"156","Lake/State station chicago, IL",41.8857605,-87.6279711
"157","Conservatory station chicago, IL",41.8848716,-87.7168771
"158","Homan station chicago, IL",41.8954925,-87.7114295
"159","Dempster-Skokie station chicago, IL",42.039388,-87.7522867
"160","Dempster-Skokie station chicago, IL",42.0269613,-87.74754
"161","Oakton-Skokie station chicago, IL",42.0269613,-87.74754
"162","Morgan-Lake station chicago, IL",41.885601,-87.6518406
"163","Cermak-McCormick Place station chicago, IL",41.8526157,-87.6264004
"164","Washington/Wabash station chicago, IL",41.8824565,-87.6261943
